Designator,Mid X,Mid Y,Rotation,Layer
C1,30.04,78.420731,0.0,top
C11,93.87,35.980731,270.0,top
C12,95.22,30.820731,90.0,top
C13,33.94,85.480731,180.0,top
C14,20.95,88.103231,90.0,top
C15,35.02,94.310731,180.0,top
C16,90.31673,53.801211,180.0,top
C17,95.615529,43.540731,180.0,top
C18,109.67,23.670731,0.0,top
C2,24.08,88.120731,90.0,top
C3,79.108932,79.583989,270.0,top
C4,79.099971,86.210731,270.0,top
C5,18.47,24.100731,270.0,top
C6,27.31,64.510731,90.0,top
C7,95.61,83.540731,180.0,top
C8,29.49,72.430731,0.0,top
C9,93.310456,65.020302,180.0,top
D1,106.225,91.210731,0.0,top
D10,23.98,73.170731,0.0,top
D11,91.73,15.500731,90.0,top
D12,84.560456,63.890302,0.0,top
D13,96.99,62.030731,90.0,top
D2,86.36,78.560731,180.0,top
D3,101.09,83.200731,180.0,top
D4,72.73,79.470731,90.0,top
D5,72.640522,86.227961,90.0,top
D6,96.6525,53.790731,0.0,top
D7,28.18,59.940731,0.0,top
D8,28.18,58.010731,0.0,top
D9,39.98,59.280731,180.0,top
FID1,2.48,15.660731,0.0,top
FID2,121.39,22.670731,0.0,top
FID3,1.98,81.160731,0.0,top
J2,113.4525,58.680731,0.0,top
J3,74.76,92.110731,0.0,top
J4,62.24,87.00073099999999,90.0,top
J8,67.25,76.980731,180.0,top
L2,29.57,90.180731,90.0,top
Q1,94.83,93.59073099999999,0.0,top
Q2,86.58,93.59073099999999,0.0,top
Q3,90.39,37.920731,180.0,top
Q4,95.57,70.230731,180.0,top
Q5,92.01,47.460731,180.0,top
R1,85.060456,61.580302,0.0,top
R10,35.55,59.200731,0.0,top
R11,86.49625,38.710731,0.0,top
R12,31.71,57.990731,0.0,top
R13,29.04,55.990731,180.0,top
R14,92.38,71.360731,90.0,top
R15,94.76,20.360731,270.0,top
R16,87.81,48.140731,0.0,top
R18,94.76,16.190731,270.0,top
R2,25.8,35.490731,180.0,top
R22,89.41673,55.941211,0.0,top
R23,89.41673,51.661211,0.0,top
R24,59.37,90.720731,90.0,top
R25,33.93,87.840731,0.0,top
R3,25.83,39.390731,0.0,top
R4,25.81,43.380731,180.0,top
R5,31.7,60.450731,180.0,top
R7,75.748932,79.560731,90.0,top
R8,75.760428,86.182228,90.0,top
R9,26.93,45.290731,0.0,top
U2,22.51,81.620731,270.0,top
U3,89.510456,61.110302,180.0,top
U6,47.745,86.765731,0.0,top
