Designator,Footprint,Quantity,Value,LCSC Part #
"5.3V1, TP12, TP_A1, TP_GND1_2, TP_GND1, TP_GND2, UV1, UV2, UV3",TestPoint_THTPad_D2.0mm_Drill1.0mm,9,TestPoint,-
"C1, C12, C14, C18, C2, C9",0805,6,1uF,C28323
"C11, C13, C7, C8",0805,4,100nF,C28233
C15,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,1,10uF T,C7171
C16,0805,1,4.7nF,C1744
"C17, C21, C5, C6",0805,4,10uF,C15850
"D1, D2",D_SMB_Handsoldering,2,D_Zener,C1972924
"D10, D13, D3",D_SMA,3,SMAJ15CA-TP,C129543
"D11, D4, D5, D9",D_SOD-123,4,MM1Z3B3,C108453
D6,SOT-23,1,SP0502BAHT,C907838
"D7, D8",D_SOD-323,2,1N5819WS Schottky,C191023
"H1, H2, H3, H4",MountingHole_4.3mm_M4_Pad_Via,4,MountingHole_Pad,-
"H5, H6",MountingHole_4.3mm_M4,2,MountingHole,-
J4,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Male,DNP
J8,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,DNP
"JP8, SJ6",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Jumper_3_Open,-
L2,Inductor_Sunlord_4030,1,10uH,C38117
"Q1, Q2",TO-252-2,2,Q_NMOS_GDS,C3017
"Q3, Q4, Q5",SOT-23,3,IRLML0100TRPBF,C53658
R10,0805,1,470R,C17710
"R11, R14, R16, R7, R8",0805,5,10K,C17414
R13,0805,1,1k2,C17379
R15,0805,1,47K 1pct.,C17713
"R18, R25",0805,2,4K7 1pct.,C17673
"R22, R23, R32, R33",1206,4,120R  .5pct  0.125W+,C2984524
R24,0805,1,499R,C17722
SJ4,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,SolderJumper_2_Bridged,-
SJ5,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Bridged,-
"SJ9, SJH1, SJIL1, SJIL2, SJL1",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,5,SolderJumper_2_Open,-
U1,OPENINVERTER_MINI_MAINBOARD,1,OpenInverter_Mini_Mainboard-openinverter_mini_mainboard,-
U2,SOT-223-3_TabPin2,1,AP1117-33,C6186
U3,SOT-23-6_Handsoldering,1,TPS22810DBVR,C205990
U6,ESP32-WROOM-32,1,ESP32-S2-WROOM,C82899
